customer_id,product_id,product_category,purchase_amount,purchase_date
243,29,Stationary,622.59,2025-01-14
399,21,Home Goods,662.12,2024-05-27
321,27,Fashion,149.02,2024-08-20
152,9,Stationary,919.23,2024-06-20
414,7,Stationary,224.83,2024-11-04
18,50,Home Goods,970.4,2024-07-04
194,8,Fashion,394.46,2024-11-13
361,45,Groceries,25.4,2024-04-16
169,34,Electronics,375.03,2025-01-27
283,26,Electronics,311.27,2024-05-15
38,16,Stationary,901.33,2024-07-27
55,13,Home Goods,497.16,2024-04-12
31,14,Confectionary,957.65,2024-08-11
69,24,Confectionary,564.87,2024-11-03
263,2,Fashion,503.2,2024-04-13
304,48,Groceries,984.52,2024-08-02
26,31,Confectionary,769.22,2025-01-01
296,37,Fashion,429.33,2024-10-09
360,17,Fashion,766.06,2024-07-27
57,36,Home Goods,349.0,2024-06-01
56,42,Fashion,883.86,2024-12-04
111,46,Fashion,181.87,2024-07-20
47,11,Electronics,272.6,2025-01-28
319,25,Fashion,686.88,2024-06-29
219,1,Confectionary,172.94,2024-06-30
46,20,Groceries,77.72,2024-08-04
71,32,Electronics,573.49,2024-10-11
390,39,Electronics,820.63,2024-08-30
343,49,Confectionary,219.36,2024-09-30
496,47,Home Goods,42.51,2025-02-25
281,6,Confectionary,73.36,2024-06-04
10,19,Home Goods,618.39,2025-03-13
221,4,Stationary,233.55,2024-04-27
108,18,Stationary,537.01,2024-09-19
374,43,Groceries,301.33,2024-07-17
166,22,Stationary,246.49,2024-12-19
212,35,Stationary,790.06,2025-03-18
144,38,Stationary,136.63,2024-06-17
62,30,Home Goods,732.26,2024-12-19
373,5,Groceries,842.96,2024-03-24
279,41,Electronics,477.21,2024-12-14
340,33,Home Goods,858.81,2024-11-10
5,23,Confectionary,37.52,2025-03-12
483,44,Fashion,623.11,2024-11-15
386,12,Stationary,779.38,2025-01-16
484,28,Groceries,643.46,2024-05-13
170,10,Stationary,170.9,2024-12-03
383,40,Fashion,799.28,2025-02-11
356,3,Stationary,623.77,2024-06-11
65,15,Groceries,464.0,2025-02-01
482,30,Groceries,775.2,2025-03-12
437,24,Electronics,195.89,2024-10-19
233,14,Confectionary,668.41,2024-04-24
64,41,Confectionary,326.27,2024-10-15
49,2,Electronics,488.53,2024-08-02
191,26,Stationary,643.33,2024-09-20
192,25,Electronics,429.54,2024-12-18
168,31,Fashion,777.78,2024-04-16
202,42,Stationary,61.13,2024-08-13
113,17,Fashion,982.39,2024-11-06
236,12,Fashion,201.05,2024-12-01
453,40,Electronics,566.57,2024-07-27
187,8,Groceries,470.75,2024-06-03
20,39,Confectionary,928.49,2024-05-14
124,22,Stationary,740.97,2024-12-20
469,25,Confectionary,172.68,2024-12-27
59,38,Electronics,199.64,2024-09-25
72,44,Groceries,86.98,2024-09-30
255,37,Fashion,248.78,2024-06-14
479,33,Home Goods,633.19,2024-11-01
17,10,Electronics,296.01,2025-03-17
149,50,Electronics,714.48,2025-01-01
293,41,Electronics,769.8,2024-05-09
335,17,Fashion,354.1,2024-10-15
315,36,Electronics,652.18,2024-05-10
498,4,Electronics,675.34,2025-02-25
189,40,Confectionary,338.87,2024-09-17
362,38,Home Goods,527.95,2025-01-23
328,4,Home Goods,660.21,2025-03-13
351,41,Home Goods,444.62,2024-11-18
459,36,Stationary,222.78,2024-09-22
209,2,Groceries,743.92,2024-09-18
480,4,Electronics,612.0,2024-08-12
456,12,Electronics,608.31,2024-08-26
325,4,Groceries,521.61,2024-11-08
391,47,Electronics,729.96,2024-09-26
329,13,Electronics,44.19,2025-01-08
51,33,Stationary,197.91,2024-05-27
457,40,Electronics,246.6,2024-08-02
455,1,Fashion,962.18,2025-03-01
344,48,Stationary,681.34,2024-12-08
135,24,Confectionary,574.1,2024-07-23
274,8,Groceries,251.73,2024-08-06
197,2,Confectionary,764.48,2024-09-28
330,35,Confectionary,103.09,2024-07-22
143,14,Groceries,487.01,2024-10-14
131,31,Stationary,722.36,2024-08-25
492,22,Groceries,535.08,2024-12-29
247,18,Electronics,392.9,2025-01-04
270,24,Home Goods,605.93,2024-10-28
416,36,Home Goods,580.22,2024-07-04
185,34,Electronics,473.97,2025-03-07
52,7,Stationary,189.94,2024-12-01
4,25,Fashion,157.82,2025-02-15
412,35,Electronics,751.37,2024-04-02
30,41,Stationary,426.79,2024-11-20
334,39,Home Goods,473.85,2025-03-18
9,10,Groceries,75.97,2024-12-29
460,25,Electronics,193.9,2024-09-27
92,30,Stationary,523.41,2024-10-26
278,6,Fashion,765.38,2025-02-21
452,49,Fashion,707.47,2025-02-24
337,49,Groceries,220.57,2024-05-15
420,26,Confectionary,551.07,2024-06-12
114,5,Stationary,53.73,2024-10-16
208,47,Home Goods,404.32,2024-05-23
165,39,Groceries,740.11,2024-03-25
86,1,Electronics,235.4,2024-12-07
201,15,Stationary,565.49,2025-03-16
99,10,Groceries,292.86,2024-10-07
326,37,Home Goods,808.44,2024-05-01
242,48,Fashion,907.15,2025-01-03
471,29,Home Goods,997.73,2024-10-27
61,16,Home Goods,270.01,2024-05-04
19,3,Fashion,691.33,2025-02-24
364,37,Groceries,45.62,2024-10-29
407,8,Home Goods,714.27,2024-06-21
8,18,Fashion,915.53,2024-12-08
109,32,Electronics,438.18,2024-06-09
316,44,Groceries,689.93,2024-05-03
101,42,Groceries,175.9,2024-04-06
264,16,Electronics,33.24,2024-08-23
42,29,Home Goods,935.5,2024-12-24
405,43,Electronics,313.47,2024-12-28
215,32,Stationary,553.58,2024-08-19
413,23,Home Goods,292.18,2024-09-13
306,24,Fashion,308.18,2024-05-23
327,5,Electronics,574.15,2024-10-18
173,1,Confectionary,282.61,2025-01-18
377,18,Electronics,400.34,2024-06-03
77,7,Electronics,882.24,2024-06-06
262,5,Stationary,702.94,2024-11-25
286,12,Home Goods,800.02,2024-07-01
333,33,Groceries,369.16,2024-11-12
66,17,Groceries,812.56,2024-04-28
418,3,Stationary,807.72,2024-07-11
179,11,Groceries,193.16,2024-10-26
466,40,Stationary,261.68,2024-07-16
246,39,Fashion,109.99,2025-03-04
222,40,Stationary,89.75,2025-01-08
260,1,Confectionary,854.02,2025-02-11
440,10,Electronics,281.08,2025-02-01
210,12,Stationary,485.07,2024-09-02
336,45,Home Goods,502.98,2024-12-03
346,18,Groceries,857.56,2025-01-14
465,37,Electronics,279.0,2025-03-18
366,42,Fashion,394.43,2024-11-20
70,48,Electronics,522.21,2024-04-06
128,6,Stationary,350.19,2025-01-20
223,42,Electronics,552.6,2025-02-04
107,49,Groceries,48.68,2024-08-16
265,39,Fashion,419.9,2024-05-12
254,37,Fashion,755.7,2024-11-12
299,5,Stationary,287.97,2024-05-19
213,50,Home Goods,758.05,2024-10-12
432,12,Home Goods,196.47,2024-07-31
338,40,Stationary,533.17,2024-11-24
139,30,Fashion,895.38,2024-07-16
174,44,Fashion,428.13,2025-03-03
470,46,Confectionary,565.82,2025-02-13
355,12,Groceries,912.86,2024-04-11
84,43,Groceries,236.63,2024-11-19
159,33,Confectionary,688.51,2024-07-11
462,2,Fashion,565.98,2024-07-18
445,45,Electronics,437.04,2024-07-11
359,48,Fashion,639.85,2024-12-21
235,35,Fashion,819.24,2024-09-10
400,43,Home Goods,404.95,2025-02-04
68,43,Home Goods,348.67,2024-10-24
164,45,Fashion,864.78,2024-08-12
195,11,Home Goods,631.65,2024-05-26
238,43,Home Goods,555.9,2024-07-30
443,41,Groceries,879.5,2024-09-29
112,47,Groceries,39.55,2025-02-05
24,40,Home Goods,244.82,2025-03-16
229,16,Stationary,655.82,2024-06-12
130,46,Electronics,656.51,2024-07-11
2,27,Fashion,486.47,2024-04-19
183,42,Home Goods,118.06,2024-12-14
478,41,Electronics,759.75,2025-03-05
23,45,Fashion,505.78,2025-03-01
186,49,Fashion,697.34,2024-12-21
133,17,Electronics,597.54,2024-09-28
269,44,Stationary,239.85,2024-10-17
93,29,Confectionary,564.37,2025-01-09
116,1,Groceries,794.23,2024-06-19
276,45,Confectionary,883.19,2024-05-17
297,3,Confectionary,501.08,2024-10-26
188,23,Groceries,366.05,2024-09-11
303,25,Stationary,991.77,2025-03-18
129,45,Home Goods,104.04,2025-02-04
97,20,Electronics,667.85,2024-07-08
363,31,Confectionary,236.16,2025-02-17
464,14,Groceries,76.76,2024-04-22
311,8,Confectionary,350.1,2024-10-01
76,20,Confectionary,580.93,2024-07-25
387,36,Home Goods,109.3,2024-11-06
181,30,Groceries,451.56,2025-02-28
312,21,Stationary,12.29,2024-06-20
388,9,Electronics,474.22,2024-12-06
73,11,Fashion,46.22,2024-05-27
441,42,Fashion,874.81,2025-02-28
251,35,Groceries,448.81,2024-10-27
127,47,Stationary,719.44,2025-02-05
13,12,Stationary,351.57,2025-03-18
481,9,Fashion,188.57,2024-08-10
96,22,Electronics,831.54,2024-05-28
234,5,Electronics,403.96,2024-03-27
180,48,Confectionary,744.62,2025-02-25
500,8,Confectionary,156.86,2025-03-16
348,22,Confectionary,196.61,2024-09-19
367,23,Electronics,499.14,2024-12-11
83,7,Home Goods,968.04,2024-08-10
25,20,Confectionary,720.09,2024-06-12
309,44,Fashion,79.58,2025-01-24
310,7,Fashion,483.02,2024-05-02
476,33,Electronics,475.48,2024-10-15
37,38,Electronics,131.63,2024-03-28
137,23,Electronics,897.81,2024-06-10
491,42,Groceries,879.51,2024-11-04
7,22,Confectionary,245.35,2024-11-08
141,12,Home Goods,538.81,2024-10-13
147,44,Home Goods,810.54,2024-10-19
339,4,Electronics,733.4,2024-10-16
252,33,Home Goods,787.44,2025-02-28
123,30,Electronics,525.64,2024-04-27
461,22,Groceries,64.1,2024-12-14
103,18,Stationary,482.74,2024-08-04
250,6,Fashion,258.0,2025-02-06
178,48,Confectionary,74.09,2024-07-07
193,28,Confectionary,603.33,2024-10-24
167,2,Stationary,489.12,2025-01-09
196,34,Confectionary,30.14,2024-06-08
442,41,Stationary,798.1,2025-01-22
290,44,Confectionary,13.58,2024-08-08
426,40,Home Goods,34.74,2025-01-26
301,44,Confectionary,300.43,2025-02-03
444,38,Groceries,53.78,2025-01-20
436,31,Fashion,849.46,2024-05-30
349,19,Electronics,463.96,2024-11-07
36,16,Electronics,687.27,2025-01-26
287,46,Electronics,388.75,2024-12-20
33,41,Groceries,80.68,2024-07-22
132,30,Confectionary,71.27,2024-07-15
27,5,Stationary,700.99,2025-01-31
398,49,Electronics,720.48,2024-08-22
115,43,Groceries,460.84,2024-03-30
155,21,Home Goods,390.94,2024-07-25
207,17,Confectionary,455.35,2025-02-13
44,22,Groceries,398.11,2024-04-20
41,3,Confectionary,294.25,2024-12-31
1,21,Stationary,310.06,2024-04-29
282,46,Electronics,770.97,2024-08-16
402,25,Groceries,150.32,2024-12-21
394,44,Electronics,35.38,2024-04-21
198,21,Groceries,690.95,2025-02-26
34,46,Groceries,402.84,2024-11-16
307,16,Groceries,433.86,2025-01-10
82,34,Confectionary,732.97,2024-10-23
408,25,Fashion,989.58,2025-01-11
317,25,Confectionary,90.09,2024-05-23
358,41,Electronics,612.12,2025-01-18
449,28,Home Goods,345.17,2024-06-25
257,4,Home Goods,613.36,2024-04-06
289,20,Confectionary,684.64,2024-09-02
439,13,Confectionary,356.06,2024-08-26
205,45,Confectionary,684.92,2024-09-23
406,11,Stationary,474.94,2024-08-07
48,10,Fashion,791.16,2025-01-06
288,29,Home Goods,77.5,2025-01-28
433,47,Electronics,61.64,2025-03-12
454,32,Electronics,473.57,2024-06-27
75,24,Electronics,969.74,2025-01-07
175,14,Stationary,270.69,2024-12-11
350,6,Confectionary,732.38,2025-01-13
431,46,Stationary,538.6,2024-11-21
200,41,Fashion,908.44,2024-11-12
486,8,Stationary,856.55,2024-05-24
300,42,Home Goods,447.93,2024-11-20
320,47,Home Goods,386.01,2024-11-04
253,17,Home Goods,810.66,2025-01-06
43,40,Fashion,844.16,2024-05-19
268,36,Fashion,759.7,2024-10-20
354,43,Home Goods,674.44,2024-10-04
119,29,Groceries,235.94,2024-12-30
410,18,Stationary,593.1,2024-09-01
448,38,Stationary,289.97,2024-10-27
331,2,Confectionary,17.4,2025-01-09
239,18,Stationary,211.95,2024-12-05
14,31,Groceries,914.67,2025-03-12
475,35,Home Goods,198.96,2024-11-19
249,4,Confectionary,510.09,2025-01-27
417,34,Confectionary,288.25,2024-12-06
